id,prediction,probability
1,0,0.3751
2,0,0.0456
3,0,0.7083
4,0,0.0124
5,0,0.3872
6,0,0.1758
7,0,0.363
8,0,0.4029
9,0,0.4367
10,0,0.5071
11,0,0.5639
12,0,0.2739
13,0,0.3395
14,0,0.3826
15,0,0.1309
16,0,0.3332
17,0,0.1514
18,0,0.1361
19,0,0.2255
20,0,0.342
21,0,0.3919
22,0,0.1485
23,0,0.3357
24,0,0.1722
25,0,0.5044
26,0,0.2594
27,0,0.4556
28,0,0.6898
29,0,0.7257
30,0,0.2092
31,0,0.3256
32,0,0.2777
33,0,0.0706
34,0,0.1059
35,0,0.3033
36,0,0.2052
37,0,0.4221
38,0,0.3081
39,0,0.087
40,0,0.3275
41,0,0.2823
42,0,0.3134
43,0,0.2118
44,0,0.1909
45,0,0.0592
46,0,0.0
47,0,0.6186
48,0,0.3882
49,0,0.3363
50,0,0.05
51,0,0.0473
52,0,0.5789
53,0,0.2669
54,0,0.1599
55,0,0.3459
56,0,0.2752
57,0,0.239
58,0,0.0695
59,0,0.4351
60,0,0.5733
61,0,0.3668
62,0,0.2444
63,0,0.312
64,0,0.482
65,0,0.2876
66,0,0.0322
67,0,0.3402
68,0,0.2672
69,0,0.1594
70,0,0.0
71,0,0.4721
72,0,0.2666
73,0,0.5261
74,0,0.4099
75,0,0.2748
76,0,0.1177
77,0,0.0
78,0,0.1361
79,0,0.771
80,0,0.398
81,0,0.1365
82,0,0.1682
83,0,0.3551
84,0,0.4808
85,0,0.3693
86,0,0.0
87,0,0.406
88,0,0.0
89,0,0.2968
90,0,0.1756
91,0,0.1048
92,0,0.2587
93,0,0.0
94,0,0.7147
95,0,0.8196
96,0,0.314
97,0,0.3016
98,0,0.3931
99,0,0.1571
100,0,0.176
101,0,0.2158
102,0,0.3417
103,0,0.0
104,0,0.0
105,0,0.3642
106,0,0.2008
107,0,0.3171
108,0,0.0071
109,0,0.3836
110,0,0.469
111,0,0.5795
112,0,0.2516
113,0,0.2438
114,0,0.2659
115,0,0.1255
116,0,0.1051
117,0,0.0707
